ID,Categoria,Nome,Descricao,Serve,Preco,Disponivel,Tag,Imagem URL
C01,Combo,Combo 1 - Pollo Loko,~16 pedacos sortidos (coxa sobrecoxa asinha coxinha) empanados + batata rustica + 4 molhos,3 pessoas,76.00,TRUE,Mais Pedido,https://img0.didiglobal.com/static/soda_public/8399fd8a830ddc485b4fd7ad927f7923.jpg
C02,Combo,Combo 2 - File de Peito,~16 pedacos de File de Sassami empanado + batata rustica grande + 4 molhos,3 pessoas,76.00,TRUE,Mais Pedido,https://img0.didiglobal.com/static/soda_public/img_e208907094c875613b3c848da997f18c.png
C03,Combo,Combo 3 - Asinha e Coxinha,~16 pedacos de asinha e coxinha empanados + batata rustica + 4 molhos,3 pessoas,76.00,TRUE,,https://img0.didiglobal.com/static/soda_public/do1_B1gVKnKBt9jPpinWprSX1509111013
C04,Combo,Combo 4 - Especial,~24 pedacos sortidos (peito coxa sobrecoxa asinha coxinha) + batata rustica + 4 molhos,4 a 5 pessoas,86.50,TRUE,Destaque,https://img0.didiglobal.com/static/soda_public/img_e208907094c875613b3c848da997f18c.png
MEGA,Mega Combo,Mega Combo Loko 32 Pedacos,Combo 1 (Pollo Loko sortido) + Combo 2 (File de Peito) - 32 pedacos para a mesa toda,Ate 6 pessoas,142.00,TRUE,Promocao Site,https://img0.didiglobal.com/static/soda_public/8399fd8a830ddc485b4fd7ad927f7923.jpg
M01,Meio Combo,1/2 Pollo Loko,~9 pedacos sortidos + batata pequena + 2 molhos,1 a 2 pessoas,56.50,TRUE,,https://img0.didiglobal.com/static/soda_public/img_ee0d3bdbab236b2b167f854bc3dd142e.jpg
M02,Meio Combo,1/2 File de Peito,File de Sassami + batata pequena + 2 molhos (~9 pedacos),1 a 2 pessoas,56.50,TRUE,,https://img0.didiglobal.com/static/soda_public/img_e208907094c875613b3c848da997f18c.png
M03,Meio Combo,1/2 Asinha e Coxinha,Asinha e coxinha + batata pequena + 2 molhos (~9 pedacos),1 a 2 pessoas,56.50,TRUE,,https://img0.didiglobal.com/static/soda_public/8399fd8a830ddc485b4fd7ad927f7923.jpg
P01,Porca
